,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
2044,MAITAI,Catamarans,9.0,4.0,4.0,22.56,2011,Sunreef 70,0,0,,,0,0,,,The 22.56m/74' 'Maita'i' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 9 guests in 4 cabins.
2045,MAJERA,Motor Yachts,11.0,5.0,4.0,26.82,2024,Sirena 88,12643,14286,"Mediterranean, Croatia, Montenegro",,0,0,,,The 26.81m/88' motor yacht 'Majera' is an excellent new superyacht for the luxury charter market. Delivered by the Turkish shipyard Sirena Yachts  and featuring interior styling by Dutch designer Cor D. Rover Design she can comfortably accommodate up to 11 guests in 5 cabins.
2046,MAJESTIC MOMENTS,Motor Yachts,10.0,5.0,5.0,26.82,2019,Grande 27M,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 26.78m/87'10"" 'Majestic Moments' motor yacht built by the Italian shipyard Azimut is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Achille Salvagni."
2047,MAJESTIC ONE,Motor Yachts,8.0,4.0,2.0,23.78,2007,Custom,3429,3929,,Ibiza,0,0,,,The 23.78m/78' motor yacht 'Majestic One' by shipyard Monte Fino offers flexible accommodation for up to 8 guests in 4 cabins.
2048,MAJESTY 88,Motor Yachts,8.0,4.0,2.0,26.88,2010,Majesty 88,0,0,,,0,0,,,"The 26.88m/88'2"" motor yacht 'Majesty 88' by the Emirati shipyard Gulf Craft offers flexible accommodation for up to 8 guests in 4 cabins."
2049,MAJIK,Sailing Yachts,8.0,4.0,12.0,42.0,2022,Custom,0,0,"South East Asia, Indonesia","Komodo, Raja Ampat",0,0,"South East Asia, Indonesia","Komodo, Raja Ampat","The 42m/137'10"" 'Majik' sail yacht built by shipyard Custom is available for charter for up to 8 guests in 4 cabins."
2050,MAKANI II,Motor Yachts,12.0,5.0,7.0,35.0,2023,Predator 115,20143,20929,"Mediterranean, Greece",Mykonos,18429,18429,"Mediterranean, Greece",Mykonos,"The 34.53m/113'3"" motor yacht 'Makani II' by the British shipyard Sunseeker offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by British designer Sunseeker."
2051,MAKE BIG HAPPEN,Motor Yachts,8.0,4.0,4.0,27.48,2020,28R Enclosed,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 28.17m/92'5"" 'Make Big Happen' motor yacht built by the American shipyard Ocean Alexander is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Evan K Marshall."
2052,MALAHNE,Classic Yachts,10.0,6.0,11.0,50.0,2015,Custom,25214,29286,"Mediterranean, Croatia, France, Greece, Italy, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia",25214,29286,,,The 50.29m/165' 'Malahne' classic yacht built by the British shipyard Camper & Nicholsons is available for charter for up to 10 guests in 6 cabins. This award winning  yacht  features interior styling by Oliver Laws.
2053,MALARPRINSESSAN,Motor Yachts,6.0,3.0,3.0,23.0,2000,Elegance 80,0,0,,,0,0,,,"The 24.4m/80'1"" motor yacht 'Malarprinsessan' by the Taiwanese shipyard Horizon offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Philippe Starck."
2054,MALCOLM MILLER,Classic Yachts,8.0,4.0,7.0,45.67,2014,Conversion,9786,11429,"Mediterranean, Greece",Mykonos,9786,11429,,,"The 45.67m/149'10"" 'Malcolm Miller' classic yacht built by shipyard John Lewis & Sons is available for charter for up to 8 guests in 4 cabins."
2055,MALDIVE MOSAIQUE,Motor Yachts,22.0,11.0,16.0,41.76,2011,Custom,0,0,,,0,0,,,The 41.76m/137' motor yacht 'Maldive Mosaique' by shipyard Maldives Motor Yachts offers flexible accommodation for up to 22 guests in 11 cabins.
2056,MALENA,Gulet Yachts,10.0,5.0,4.0,27.0,2013,Custom,2286,2929,"Mediterranean, Croatia, Montenegro",,2286,2929,"Mediterranean, Croatia, Montenegro",,The 25m/82' gulet yacht 'Malena' by shipyard Custom offers flexible accommodation for up to 10 guests in 5 cabins.
2057,MALIA,Motor Yachts,12.0,8.0,22.0,77.7,2024,Custom,124786,141429,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",124786,141429,"Caribbean, Antigua, Saint Martin, St Barts, Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","The 77.7m/254'11"" motor yacht 'Malia' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Greek shipyard Golden Yachts and features interior styling by Studio Vafiadis and  Massari Design, she can comfortably accommodate up to 12 guests in 8 cabins."
2058,MALIZIA,Sailing Yachts,7.0,3.0,3.0,24.99,2022,Custom,4643,5286,"Mediterranean, France, Greece, Italy, Malta, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia",3643,3643,"Mediterranean, France, Greece, Italy, Malta, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia",The 25m/82' 'Malizia' sail yacht built by the Italian shipyard Perini Navi is available for charter for up to 7 guests in 3 cabins. This  yacht  features interior styling by Michele Bonan.
2059,MALKIA,Motor Yachts,10.0,5.0,5.0,29.6,2020,SD96,14357,15929,"Mediterranean, Italy","Corsica, Sardinia",14357,15929,"Mediterranean, Italy","Corsica, Sardinia","The 29.6m/97'1"" 'Malkia' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Spanish designer Patricia Urquiola."
2060,MALTESE FALCON,Sailing Yachts,12.0,6.0,19.0,88.01,2023,Custom,81929,97000,"Mediterranean, Croatia, France, Greece, Italy, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",,"One of the most iconic superyachts on the water, the 88m/289ft sailing yacht ‘Maltese Falcon’ turns heads wherever she cruises thanks to her three, DynaRig-designed 190' (58m) masts.  Delivered from sailing yacht experts Perini Navi in 2006, the multi-award-winning Maltese Falcon features interior and exterior design from Ken Freivokh and is maintained to an exacting standard with regular refits and upgrades."
2061,MAMBA,Open Yachts,6.0,3.0,3.0,25.05,2019,Mangusta 80 Open,5214,6214,,,5214,6214,,,The 24.38m/80' 'Mamba' open yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Italian designer Mangusta.
2062,MAMBA,Motor Yachts,6.0,3.0,3.0,25.05,2019,Mangusta 80 Open,5214,6214,,,5214,6214,,,The 24.38m/80' open yacht 'Mamba' by the Italian shipyard Mangusta offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Italian designer Mangusta.
2063,MAMBO,Motor Yachts,8.0,4.0,4.0,34.14,2022,Custom Line 112,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 34m/111'7"" 'Mambo' motor yacht built by the Italian shipyard Custom Line is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Zuccon."
2064,MAMMA MIA,Motor Yachts,12.0,5.0,8.0,33.88,2020,Canados 110,8071,9714,"Mediterranean, Greece, Turkey",Mykonos,8071,8071,"Mediterranean, Greece, Turkey",Mykonos,"The 33.5m/109'11"" motor yacht 'Mamma Mia' by the Italian shipyard Canados offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Apostolos Molindris & Associates."
2065,MAMMA MIA,Motor Yachts,12.0,5.0,7.0,36.58,2022,Classic 120',0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,The 36.58m/120' motor yacht 'Mamma Mia' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by French designer Zuretti.
2066,MAMMA MIA,Motor Yachts,12.0,6.0,8.0,39.8,2022,Maiora 39DP,20143,23500,"Mediterranean, Greece",Mykonos,20143,23500,"Mediterranean, Greece",Mykonos,"The 39.8m/130'7"" 'Mamma Mia' motor yacht built by the Italian shipyard Maiora is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Micheller Land & Sea Designs."
2067,MAMMAS,Motor Yachts,9.0,4.0,4.0,23.95,2024,SL82,4857,5714,"Mediterranean, Greece",,4857,5714,"Mediterranean, Greece",,"The 23.95m/78'7"" 'Mamma's' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Sanlorenzo."
2068,MAN OF STEEL,Motor Yachts,12.0,7.0,28.0,86.0,2023,Custom,195429,195429,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",0,0,"Bermuda, Caribbean, Antigua, Bahamas, Saint Martin, St Barts",,"The 86.01m/282'2"" 'Man of Steel' motor yacht built by the Dutch shipyard Oceanco is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by Italian designer Nuvolari Lenard."
2070,MANATEA,Motor Yachts,8.0,4.0,4.0,28.65,2022,Peri 29,7857,8714,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia",7857,8714,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia","The 28.74m/94'3"" motor yacht 'Manatea' by shipyard Peri Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Scaro Design."
2071,MANE ET NOCTE,Catamarans,10.0,4.0,4.0,23.85,2021,Seventy 7,11429,13000,"Indian Ocean, Maldives, Seychelles",,11429,13000,"Indian Ocean, Seychelles",,The 23.77m/78' 'Mane et Nocte' catamaran yacht built by the French shipyard Lagoon is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by French designer Lagoon.
2072,MANTA,Catamarans,10.0,5.0,4.0,23.8,2022,80 Sunreef Power,11643,12500,"Mediterranean, Croatia, France, Greece, Monaco, Montenegro","Corsica, French Riviera, Mykonos",10286,10286,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia","The 23.96m/78'7"" 'Manta' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Polish designer Sunreef Yachts."
2073,MANTRA,Motor Yachts,12.0,5.0,6.0,30.7,2022,Falcon 100,8000,9643,"Mediterranean, Greece, Turkey",Mykonos,8000,8000,"Mediterranean, Greece, Turkey",Mykonos,"The 30.7m/100'9"" motor yacht 'Mantra' by the Italian shipyard Falcon Yachts offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Italian designer Stefano Righini."
2074,MANU,Motor Yachts,8.0,4.0,2.0,21.01,2023,Azimut 68,3000,3500,"Mediterranean, Greece",,3000,3500,"Mediterranean, Greece",,"The 21m/68'11"" 'Manu' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins."
2075,MANU,Open Yachts,8.0,4.0,4.0,28.04,2006,Mangusta 92,8000,9143,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",8000,9143,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 28.27m/92'9"" open yacht 'Manu' by the Italian shipyard Mangusta offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Mangusta."
2076,MANU V,Open Yachts,10.0,5.0,5.0,34.19,2022,Leopard 34,12214,13000,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",12214,12214,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 34.1m/111'11"" open yacht 'Manu V' by shipyard Leopard offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Rodriguez Interiors."
2077,MANUTARA,Sailing Yachts,10.0,5.0,6.0,35.0,2016,Custom,0,0,,New England,0,0,"Caribbean, Bahamas",Virgin Islands,The 35.05m/115' sail yacht 'Manutara' by shipyard VALDETTARO offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Studio Garroni.
2078,MAORIA,Expedition Yachts,6.0,3.0,4.0,26.01,2021,26 XP,8929,11429,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia",0,0,"Mediterranean, France, Monaco","Corsica, French Riviera","The 25.68m/84'3"" expedition yacht 'Maoria' by the Turkish shipyard Numarine offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Turkish designer Can Yalman."
2079,MAORO,Motor Yachts,10.0,5.0,5.0,34.52,2023,Predator 115,19071,20714,"Mediterranean, Greece",Mykonos,19071,20714,"Mediterranean, Greece",Mykonos,"The 34.53m/113'3"" motor yacht 'Maoro' by the British shipyard Sunseeker offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by British designer Sunseeker."
2080,MAOYA,Sailing Yachts,8.0,3.0,3.0,23.16,2020,Custom,4214,4643,,,4214,4643,,,The 23.16m/76' 'Maoya' sail yacht built by shipyard CNB is available for charter for up to 8 guests in 3 cabins.
2081,MAR,Motor Yachts,12.0,8.0,33.0,107.01,2021,Custom,299286,299286,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",0,0,,,"The 107m/351'1"" 'Mar' (ex. Lana) motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 8 cabins. This multi-award winning  yacht  features interior styling by Italian designer Benetti."
2082,MARAE,Gulet Yachts,6.0,3.0,4.0,32.92,2020,Custom,0,0,,New England,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,"The 32.97m/108'2"" 'Marae' gulet yacht built by the New Zealander shipyard Alloy Yachts is available for charter for up to 6 guests in 3 cabins. This award winning  yacht  features interior styling by Ted Fontaine."
2083,MARALLURE,Sailing Yachts,12.0,6.0,8.0,41.78,2023,Custom,13000,14714,"Mediterranean, Croatia, France, Monaco, Montenegro","Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia",13000,13000,,,"The 41.78m/137'1"" sail yacht 'MarAllure' is an excellent new superyacht for the luxury charter market. Delivered by shipyard BrodoTrogir  she can comfortably accommodate up to 12 guests in 6 cabins."
2084,MARAYA,Motor Yachts,12.0,6.0,15.0,54.2,2018,CRN 54,49071,49071,"Mediterranean, Croatia, France, Italy, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Sardinia",49071,49071,,,"The 54.2m/177'10"" motor yacht 'Maraya' by the Italian shipyard CRN Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Claude Missir."
2085,MARAZUL,Motor Yachts,10.0,5.0,4.0,29.9,2008,Custom,0,0,,,0,0,,,"The 29.9m/98'1"" motor yacht 'Marazul' by shipyard Poole Chaffee offers flexible accommodation for up to 10 guests in 5 cabins."
2086,MARBELLA,Motor Yachts,8.0,4.0,5.0,32.92,2013,Custom,0,0,,,0,0,,,"The 32.9m/107'11"" 'Marbella' motor yacht built by shipyard Monte Fino is available for charter for up to 8 guests in 4 cabins."
2087,MARBRI,Motor Yachts,8.0,5.0,5.0,36.88,2010,Crescent 121,0,0,,,0,0,,,"The 36.9m/121'1"" 'Marbri' motor yacht built by shipyard Crescent  Yachts is available for charter for up to 8 guests in 5 cabins. This  yacht  features interior styling by Robin Rose & Associates."
2088,MARCELLO,Motor Yachts,8.0,4.0,4.0,23.9,2022,A85,8571,9571,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",6357,6357,,,The 25.91m/85' motor yacht 'Marcello' by the Italian shipyard Arcadia offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Francesco Guida.
2089,MARE BLU,Catamarans,8.0,4.0,2.0,19.51,2018,630 MY,0,0,,,0,0,Caribbean,Virgin Islands,"The 19.46m/63'10"" 'Mare Blu' catamaran yacht built by the French shipyard Lagoon is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Nauta Design."
2090,MARE NOSTRUM,Gulet Yachts,12.0,6.0,7.0,43.0,2021,Custom,13429,13429,"Mediterranean, Turkey",,13429,13429,,,"The 43m/141'1"" gulet yacht 'Mare Nostrum' by shipyard Kadir Turhan offers flexible accommodation for up to 12 guests in 6 cabins."
2091,MARE NOSTRUM,Sailing Yachts,12.0,5.0,7.0,45.3,2014,Perini 45M,22786,25214,"Mediterranean, Croatia, France, Greece, Italy, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",0,0,,,"The 45.26m/148'6"" sail yacht 'Mare Nostrum' by the Italian shipyard Perini Navi offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Italian designer Perini Navi."
2092,MAREA LA NAUTICA,Motor Yachts,10.0,5.0,4.0,26.82,2022,Grande 27M,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 26.78m/87'10"" 'Marea La Nautica' motor yacht built by the Italian shipyard Azimut is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Achille Salvagni."
2093,MARELLA,Sailing Yachts,8.0,3.0,3.0,26.0,2023,Custom,4857,4857,Mediterranean,,0,0,,,"The 26m/85'4"" sail yacht 'Marella' by shipyard De Cesari offers flexible accommodation for up to 8 guests in 3 cabins and features interior styling by Italian designer Vallicelli Design."
2094,MARGATE,Motor Yachts,10.0,4.0,4.0,33.83,2022,Custom,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 33.81m/110'11"" motor yacht 'Margate' by shipyard Broward offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Patrick Knowles."
2095,MARGUERITE,Motor Yachts,12.0,6.0,17.0,61.01,2021,Custom,73286,73286,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",0,0,,,The 61.26m/201' 'Marguerite' motor yacht built by the German shipyard Lurssen is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by British designer Winch Design.
2096,MARIA,Motor Yachts,12.0,7.0,12.0,52.12,2014,Custom,0,0,"Caribbean, Bahamas, Mediterranean, Croatia, Italy, Monaco, Montenegro","Amalfi Coast, Cannes, Corsica, Florida, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez",0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts","Florida, Virgin Islands","The 52.1m/170'11"" motor yacht 'Maria' (ex. Battered Bull) by the Dutch shipyard Feadship offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Bruce Gregga."
2097,MARIA TERESA,Expedition Yachts,10.0,4.0,3.0,24.0,2017,Conversion,3571,4571,,,3571,4571,,,"The 24m/78'9"" expedition yacht 'Maria Teresa' by shipyard Cantieri Solimano offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Matteo Picchio Yacht Design. She originally served as a tug before being converted into a yacht by Cantieri Navali Solimano in 2009."
2098,MARIA THERESE,Catamarans,8.0,4.0,4.0,20.72,2016,Supreme 68 Power,0,0,Caribbean,,0,0,Caribbean,,The 20.72m/68' catamaran yacht 'Maria Therese' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 8 guests in 4 cabins.
2099,MARIAGIOVANNA,Gulet Yachts,12.0,6.0,5.0,29.0,2008,Custom,2571,3000,,"Corsica, French Riviera, Ligurian Riviera, Sardinia",2571,3000,,,"The 23.8m/78'1"" gulet yacht 'Mariagiovanna' by shipyard Caique offers flexible accommodation for up to 12 guests in 6 cabins."
2100,MARIAH PRINCESS III,Catamarans,8.0,4.0,4.0,23.28,2020,Custom,0,0,,,0,0,Caribbean,,"The 23.87m/78'4"" catamaran yacht 'Mariah Princess III' by the French shipyard Lagoon offers flexible accommodation for up to 8 guests in 4 cabins."
2101,MARICAN FOREVER,Motor Yachts,12.0,5.0,5.0,32.99,2024,Custom Line 106,22000,24429,"Mediterranean, France, Italy, Monaco","Amalfi Coast, French Riviera, Sardinia",22000,24429,"Mediterranean, France, Italy, Monaco","Amalfi Coast, French Riviera, Sardinia","The 32.82m/107'8"" motor yacht 'Marican Forever' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Custom Line  and featuring interior styling by Italian designer Francesco Paszkowski Design she can comfortably accommodate up to 12 guests in 5 cabins."
2102,MARIE,Classic Yachts,8.0,4.0,8.0,54.61,2025,Custom,28000,31500,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",28000,31500,,,The award winning 54.86m/180' classic yacht 'Marie' by the Dutch shipyard Vitters offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Hoek Design.
2104,MARISKA,Classic Yachts,6.0,3.0,2.0,27.58,2021,Custom,0,0,,,0,0,,,"The 27.58m/90'6"" classic yacht 'Mariska' by shipyard William Fife & Sons offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Ines Knoll."
2105,MARIU,Motor Yachts,12.0,6.0,12.0,49.91,2020,Custom,30143,39929,"Mediterranean, Greece",Mykonos,30143,39929,,,"The 49.9m/163'9"" 'Mariu' motor yacht built by the Italian shipyard Codecasa is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Giorgio Armani S.p.A.."
2106,MARLA,Motor Yachts,12.0,6.0,12.0,50.01,2020,Custom,30500,36429,"Mediterranean, Greece, Turkey",Mykonos,30500,30500,"Mediterranean, Greece, Turkey",Mykonos,"The 50m/164'1"" motor yacht 'Marla' (ex. TJ Esperanza) by the Dutch shipyard Amels offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by English designer Terence Disdale."
2107,MARLEENA VIII,Motor Yachts,6.0,3.0,2.0,21.11,2021,Pershing 7X,5714,6357,,"Ibiza, The Balearics",5714,6357,,,"The 21.11m/69'3"" 'Marleena VIII' motor yacht built by the Italian shipyard Pershing is available for charter for up to 6 guests in 3 cabins."
2108,MAROMA VI,Motor Yachts,8.0,4.0,2.0,23.6,2018,76 Yacht,0,0,,,0,0,,,"The 23.6m/77'5"" 'Maroma VI' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins."
2109,MARQUES,Motor Yachts,8.0,4.0,5.0,30.23,2018,Tradition 100',0,0,,,0,0,,,"The 30.2m/99'1"" motor yacht 'Marques' by the Italian shipyard Benetti offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by French designer Zuretti."
2110,MARQUISE,Motor Yachts,28.0,14.0,30.0,72.0,2017,Conversion,89571,89571,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics",89571,89571,"Indian Ocean, Maldives","Abu Dhabi, Dubai","The 72m/236'3"" 'Marquise' motor yacht built by shipyard Austal is available for charter for up to 28 guests in 14 cabins. This  yacht  features interior styling by AskDeco."
2111,MARSHA KAY,Motor Yachts,8.0,4.0,5.0,34.14,2022,Westport 112,0,0,,,0,0,"Caribbean, Bahamas",,"The 34.1m/111'11"" motor yacht 'Marsha Kay' by the American shipyard Westport Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Taylor Olson."
2112,MARSOL,Motor Yachts,10.0,5.0,5.0,26.84,2022,27R NGP,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 26.84m/88'1"" motor yacht 'Marsol' by the American shipyard Ocean Alexander offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by British designer Evan K Marshall."
2113,MARTITA,Motor Yachts,8.0,4.0,3.0,22.3,2022,X76 Loft,7571,9071,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",0,0,,,"The 22.3m/73'2"" 'Martita' motor yacht built by the Italian shipyard Extra Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Hot Lab."
2115,MARVI DE,Motor Yachts,10.0,5.0,6.0,30.5,2018,Custom,5714,6857,,,5714,5714,"Mediterranean, Greece","Mykonos, Santorini",The 32m/105' 'Marvi De' motor yacht built by the Italian shipyard Admiral Yachts is available for charter for up to 10 guests in 5 cabins.
2116,MARY,Motor Yachts,11.0,5.0,5.0,32.28,2023,SL106 Asymmetric,15714,18214,"Mediterranean, Greece",Mykonos,13571,13571,"Mediterranean, Greece",Mykonos,The 32.31m/106' motor yacht 'Mary' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Sanlorenzo  and featuring interior styling by Italian designer Zuccon she can comfortably accommodate up to 11 guests in 5 cabins.
2117,MARY ANNE II,Classic Yachts,16.0,12.0,6.0,66.0,1997,Custom,0,0,,,0,0,,,"The 66m/216'6"" classic yacht 'Mary Anne II' by Radunia Shipyard offers flexible accommodation for up to 16 guests in 12 cabins."
2118,MARY KATHLENE,Motor Yachts,10.0,5.0,6.0,42.37,2023,Custom,0,0,"Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,0,0,"Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,The 42.67m/140' 'Mary Kathlene' motor yacht built by the American shipyard Westport Yachts is available for charter for up to 10 guests in 5 cabins.
2119,MARY-JEAN II,Motor Yachts,12.0,7.0,15.0,61.7,2023,ISA 600,52143,61071,"Mediterranean, Croatia, France, Greece, Italy, Malta, Monaco, Montenegro, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia",0,0,Caribbean,Virgin Islands,"The award winning 61.7m/202'5"" motor yacht 'Mary-Jean II' by the Italian shipyard ISA Yachts offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by British designer Mark Berryman Design."
2120,MARYANA,Motor Yachts,8.0,4.0,3.0,25.91,2022,Princess 85 Motor Yacht,0,0,,New England,0,0,"Caribbean, Bahamas",,The 25.91m/85' motor yacht 'Maryana' by the British shipyard Princess offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Princess.
2121,MARYBELLE,Motor Yachts,8.0,4.0,3.0,24.99,2017,Viking 82MY,0,0,,,0,0,,,"The 25.43m/83'5"" motor yacht 'Marybelle' by the American shipyard Viking Yachts offers flexible accommodation for up to 8 guests in 4 cabins."
2122,MAS,Catamarans,8.0,4.0,3.0,21.34,2011,70 Sunreef Power,0,0,,,0,0,"Central America, Mexico",,The 21.34m/70' 'Mas' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins.
2123,MASHUA BLUU,Catamarans,8.0,4.0,4.0,30.0,2016,Custom,9786,11071,,"Ibiza, The Balearics",9786,11071,,,"The 30m/98'5"" catamaran yacht 'Mashua Bluu' by shipyard Yachts Industries offers flexible accommodation for up to 8 guests in 4 cabins."
2124,MASKE,Sailing Yachts,10.0,5.0,4.0,27.5,2018,Custom,2500,2929,"Mediterranean, Croatia, Greece, Turkey","Mykonos, Santorini",2500,2929,"Mediterranean, Croatia, Greece, Turkey","Mykonos, Santorini","The 27.5m/90'3"" 'Maske' sail yacht built by shipyard Custom is available for charter for up to 10 guests in 5 cabins."
2125,MASTEKA 2,Motor Yachts,12.0,5.0,7.0,37.01,2022,Custom,0,0,"South Pacific, Australia","Sydney, Whitsundays",0,0,"South Pacific, Australia","Sydney, Whitsundays",The 37.19m/122' 'Masteka 2' motor yacht built by shipyard Monte Fino is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Rhoades Young.
