,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
1017,EAU LA LA,Motor Yachts,10.0,5.0,7.0,36.88,2023,37 XP,0,0,"Bermuda, Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,0,0,"Bermuda, Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,"The 37.14m/121'10"" motor yacht 'Eau La La' (ex. Rockit) is an excellent new superyacht for the luxury charter market. Delivered by the Turkish shipyard Numarine  and featuring interior styling by Turkish designer Can Yalman she can comfortably accommodate up to 10 guests in 5 cabins."
1018,ECCE NAVIGO,Gulet Yachts,10.0,5.0,6.0,31.0,2008,Custom,3714,5429,"Mediterranean, Greece",Mykonos,3714,5429,,,"The 34m/111'7"" gulet yacht 'Ecce Navigo' by shipyard Valena Yachting offers flexible accommodation for up to 10 guests in 5 cabins."
1019,ECE ARINA,Gulet Yachts,9.0,4.0,4.0,24.0,2019,Custom,2286,2857,"Mediterranean, Greece",,0,0,,,"The 24m/78'9"" gulet yacht 'Ece Arina' by Fethiye Shipyard offers flexible accommodation for up to 9 guests in 4 cabins."
1020,ECE BERRAK,Gulet Yachts,10.0,5.0,5.0,33.0,2017,Custom,2571,3714,"Mediterranean, Turkey",,2571,3714,"Mediterranean, Turkey",,"The 33m/108'3"" 'Ece Berrak' gulet yacht built by Fethiye Shipyard is available for charter for up to 10 guests in 5 cabins."
1021,ECLAT,Open Yachts,9.0,4.0,4.0,31.0,2008,Leopard 31,9786,9786,"Mediterranean, France, Italy, Monaco","Calvi, Corsica, French Riviera, Sardinia",9786,9786,"Mediterranean, France, Italy, Monaco","Calvi, Corsica, French Riviera, Sardinia","The 30.98m/101'8"" 'Eclat' (ex. Pan Dei) open yacht built by shipyard Leopard is available for charter for up to 9 guests in 4 cabins."
1022,ECLIPSE,Motor Yachts,10.0,5.0,5.0,35.0,2019,Couach 3500 FLY,0,0,,,0,0,"Caribbean, Antigua, Saint Martin, St Barts",,"The 35m/114'10"" motor yacht 'Eclipse' by shipyard Couach offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Couach."
1023,EDEN,Motor Yachts,10.0,5.0,5.0,30.5,2022,Maiora 30 Walkaround,15500,17500,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia",15500,17500,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia","The 30.46m/99'11"" motor yacht 'Eden' by the Italian shipyard Maiora offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Fossati Design Bureau."
1024,EDEN,Motor Yachts,8.0,4.0,5.0,34.14,2022,Westport 112,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",,"The 34.1m/111'11"" motor yacht 'Eden' by the American shipyard Westport Yachts offers flexible accommodation for up to 8 guests in 4 cabins."
1025,EDEN ERINA,Open Yachts,7.0,3.0,2.0,23.0,2011,Custom,0,0,,,0,0,,,"The 23m/75'6"" 'Eden Erina' open yacht built by shipyard Leopard is available for charter for up to 7 guests in 3 cabins. This  yacht  features interior styling by Arno."
1026,EDESIA,Motor Yachts,10.0,5.0,7.0,36.9,2014,Classic 121',22000,25214,"Mediterranean, France, Italy, Malta, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",22000,25214,,,"The 36.9m/121'1"" 'Edesia' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by French designer Zuretti."
